year_month,manage_city,bus_type,station_id,station_no,station_name,pass_route_cnt
2023,수원시,일반,203000001,1257,경기남부경찰청.봉녕사입구,15
2023,수원시,일반,203000052,4190,지역난방공사.신나무실쌍용아파트,8
2023,수원시,일반,202000050,3070,성빈센트병원,22
2023,수원시,일반,202000051,3135,2001아울렛,22
2023,수원시,일반,203000284,4302,광교휴먼시아32단지정문,11
2023,수원시,일반,203000292,4373,국토지리정보원.중앙기독초교.경기혈액원,2
2023,수원시,일반,201000072,2357,수원하늘채더퍼스트아파트입구,2
2023,수원시,일반,203000082,4081,매탄레이크파크아파트,5
2023,수원시,일반,201000007,2227,세권사거리,7
2023,수원시,일반,201000009,2214,수원버스터미널,8
2023,수원시,일반,201000287,2195,매교역4번출구,2
2023,수원시,일반,202000261,3006,수원역푸르지오자이.쌍우물택시쉼터,5
2023,수원시,일반,203000429,4416,수원시도시안전통합센터,1
2023,수원시,일반,202000042,3122,수원월드컵경기장.아름학교,6
2023,수원시,일반,201000268,2291,곡반중학교,14
2023,수원시,일반,202000017,3110,우만신성아파트,21
2023,수원시,일반,200000285,1262,성균관대역.고용노동부경기지청.율전성당,7
2023,수원시,일반,200000301,1415,화남아파트,1
2023,수원시,일반,200000303,1419,보훈복지타운아파트,1
2023,수원시,일반,200000311,1283,장안구청,5
2023,수원시,일반,201000355,2865,수원델타플렉스육교앞,2
2023,수원시,일반,201000399,2894,세류2동,10
2023,수원시,일반,203000274,4280,광교센트럴뷰.힐스테이트레이크,9
2023,수원시,일반,203000313,4287,광교한양수자인.광교복합체육센터,6
2023,수원시,일반,201000379,2875,신미주아파트,2
2023,수원시,일반,200000113,1098,경기수원의료원.두견마을.파크푸르지오,3
2023,수원시,일반,200000098,1066,동남보건대학,6
2023,수원시,일반,200000184,1129,수원종합운동장.로얄팰리스.아너스빌위즈,16
2023,수원시,일반,200000042,1206,이목동.장안힐스테이트,12
2023,수원시,일반,201000199,2256,선일초등학교,24
2023,수원시,일반,201000202,2192,비행장입구.세류역,10
2023,수원시,일반,201000538,2338,당수동,1
2023,수원시,일반,201000432,2934,동남아파트,24
2023,수원시,일반,203000074,4141,영통역8번출구,12
2023,수원시,일반,203000078,4166,황골마을,7
2023,수원시,일반,200000159,1011,성균관대학교,7
2023,수원시,일반,200000166,1161,장안문,4
2023,수원시,일반,203000089,4018,매탄초교,8
2023,수원시,일반,202000203,3033,글로벌청소년드림센터,19
2023,수원시,일반,203000254,4254,광교차고지,8
2023,수원시,일반,202000104,3194,화서1동주민센터,5
2023,수원시,일반,203000358,4344,망포역1번출구,1
2023,수원시,일반,201000028,2074,구운사거리.농수산물유통센터,5
2023,수원시,일반,203000320,4022,광교해모로아파트,5
2023,수원시,일반,203000328,4306,광교오드카운티,5
2023,수원시,일반,202000242,3010,블루밍푸른숲아파트,2
2023,수원시,일반,202000067,3072,창룡문,2
2023,수원시,일반,202000090,3176,화서역,4
2023,수원시,일반,200000058,1146,조원동,4
2023,수원시,일반,202000218,3043,(구)경기도청오거리,2
2023,수원시,일반,201000051,2184,신곡동,10
2023,수원시,일반,201000422,2922,수원아이파크4단지,1
2023,수원시,일반,203000309,4335,광교호수공원.제1주차장,3
2023,수원시,일반,201000036,2073,구운사거리.농수산물유통센터,5
2023,수원시,일반,201000095,2033,신미주아파트,5
2023,수원시,일반,201000101,2042,칠보입구,7
2023,수원시,일반,201000235,2261,곡반중학교.수원아이파크,7
2023,수원시,일반,201000312,2284,웅비아파트,2
2023,수원시,일반,201000409,2908,호매실마을14단지.장애인종합복지관,9
2023,수원시,일반,201000405,2904,호매실동차고지,5
2023,수원시,일반,201000413,2912,호매실역서희스타힐스.모아미래도아파트,5
2023,수원시,일반,201000197,2215,수원버스터미널,15
2023,수원시,일반,201000371,2870,큰갓띠,1
2023,수원시,일반,202000032,3119,효성초등학교,14
2023,수원시,일반,201000369,2871,서수원자이아파트,2
2023,수원시,일반,200000133,1104,경남아너스빌,3
2023,수원시,일반,200000134,1099,정자초교사거리,6
2023,수원시,일반,203000100,4010,우남아파트,3
2023,수원시,일반,203000138,4107,벽적골태영아파트,8
2023,수원시,일반,203000197,4200,효원초등학교,1
2023,수원시,일반,201000189,2107,구운동강남아파트,8
2023,수원시,일반,203000091,4074,래미안영통마크원1단지.신동수변공원,12
2023,수원시,일반,203000108,4176,망포중학교,18
2023,수원시,일반,203000107,4140,영통도서관.영덕중학교.은혜와진리교회,1
2023,수원시,일반,203000115,4067,동수원중학교.성일아파트.한국1차아파트,3
2023,수원시,일반,203000114,4060,극동아파트,3
2023,수원시,일반,203000130,4040,벌터마을.래미안영통마크원2단지,4
2023,수원시,일반,203000139,4100,영통롯데아파트,8
2023,수원시,일반,203000311,4282,광교호반마을21단지,6
2023,수원시,일반,203000314,4301,광교휴먼시아32단지,11
2023,수원시,일반,203000359,4345,수원시동부차고지,11
2023,수원시,일반,203000343,4322,광교e편한세상2차.광교중학교,2
2023,수원시,일반,201000463,2996,신미주.호반베르디움.일신건영아파트,1
2023,수원시,일반,201000469,2954,권선구청.경기종합노동복지회관,3
2023,수원시,일반,201000470,2957,구운동주민센터.서수원도서관,4
2023,수원시,일반,201000492,2332,중보교.수원역자동차운전전문학원,23
